NC_009144.2	chr1
NW_001874497.1	chrUn
NW_001874508.1	chrUn
NW_001874519.1	chrUn
NW_001874530.1	chrUn
NW_001874541.1	chrUn
NW_001874585.1	chrUn
NW_001874640.1	chrUn
NW_001874662.1	chrUn
NW_001874695.1	chrUn
NW_001874728.1	chrUn
NW_001874761.1	chrUn
NW_001874772.1	chrUn
NW_001874783.1	chrUn
NW_001874794.1	chrUn
NW_001874805.1	chrUn
NW_001874816.1	chrUn
NW_001874849.1	chrUn
NW_001874860.1	chrUn
NW_001874871.1	chrUn
NW_001874882.1	chrUn
NW_001874981.1	chrUn
NW_001874992.1	chrUn
NW_001875014.1	chrUn
NW_001875036.1	chrUn
NW_001875047.1	chrUn
NW_001875080.1	chrUn
NW_001875091.1	chrUn
NW_001875102.1	chrUn
NW_001875113.1	chrUn
NW_001875124.1	chrUn
NW_001875135.1	chrUn
NW_001875157.1	chrUn
NW_001875168.1	chrUn
NW_001875190.1	chrUn
NW_001875201.1	chrUn
NW_001875234.1	chrUn
NW_001875256.1	chrUn
NW_001875267.1	chrUn
NW_001875333.1	chrUn
NW_001875344.1	chrUn
NW_001875377.1	chrUn
NW_001875399.1	chrUn
NW_001875432.1	chrUn
NW_001875454.1	chrUn
NW_001875476.1	chrUn
NW_001875498.1	chrUn
NW_001875509.1	chrUn
NW_001875520.1	chrUn
NW_001875531.1	chrUn
NW_001875542.1	chrUn
NW_001875553.1	chrUn
NW_001875564.1	chrUn
NW_001875575.1	chrUn
NW_001875619.1	chrUn
NW_001875630.1	chrUn
NW_001875697.1	chrUn
NW_001875719.1	chrUn
NW_001875752.1	chrUn
NW_001875763.1	chrUn
NW_001875785.1	chrUn
NW_001875830.1	chrUn
NW_001875852.1	chrUn
NW_001875885.1	chrUn
NW_001875896.1	chrUn
NW_001875919.1	chrUn
NW_001875941.1	chrUn
NW_001875952.1	chrUn
NW_001875974.1	chrUn
NW_001875996.1	chrUn
NW_001876041.1	chrUn
NW_001876096.1	chrUn
NW_001876107.1	chrUn
NW_001876129.1	chrUn
NW_001876141.1	chrUn
NW_001876152.1	chrUn
NW_001876174.1	chrUn
NW_001876185.1	chrUn
NW_001876218.1	chrUn
NW_001876229.1	chrUn
NW_001876240.1	chrUn
NW_001876263.1	chrUn
NW_001876274.1	chrUn
NW_001876285.1	chrUn
NW_001876296.1	chrUn
NW_001876307.1	chrUn
NW_001876318.1	chrUn
NW_001876329.1	chrUn
NW_001876351.1	chrUn
NW_001876363.1	chrUn
NW_001876429.1	chrUn
NW_001876440.1	chrUn
NW_001876485.1	chrUn
NW_001876496.1	chrUn
NW_001876507.1	chrUn
NW_001876540.1	chrUn
NW_001876562.1	chrUn
NW_001876596.1	chrUn
NW_001876607.1	chrUn
NW_001876618.1	chrUn
NW_001876640.1	chrUn
NW_001876651.1	chrUn
NW_001876662.1	chrUn
NW_001876673.1	chrUn
NW_001876707.1	chrUn
NW_001876740.1	chrUn
NW_001876762.1	chrUn
NW_001876773.1	chrUn
NW_001876795.1	chrUn
NW_001876807.1	chrUn
NW_001876829.1	chrUn
NW_001876840.1	chrUn
NW_001876851.1	chrUn
NW_001876862.1	chrUn
NW_001876873.1	chrUn
NW_001876895.1	chrUn
NW_001876906.1	chrUn
NW_001876940.1	chrUn
NW_001876973.1	chrUn
NW_001876995.1	chrUn
NW_001877007.1	chrUn
NW_001877008.1	chrUn
NW_001877009.1	chrUn
NW_001877011.1	chrUn
NW_001877013.1	chrUn
NW_001877014.1	chrUn
NW_001877015.1	chrUn
NW_001877018.1	chrUn
NW_001877019.1	chrUn
NW_001877021.1	chrUn
NW_001877022.1	chrUn
NW_001877023.1	chrUn
NW_001877024.1	chrUn
NW_001877025.1	chrUn
NW_001877026.1	chrUn
NW_001877030.1	chrUn
NW_001877031.1	chrUn
NW_001877037.1	chrUn
NW_001877038.1	chrUn
NW_001867436.1	chrUn
NW_001867439.1	chrUn
NW_001867440.1	chrUn
NW_001867441.1	chrUn
NW_001867442.1	chrUn
NW_001867445.1	chrUn
NW_001867447.1	chrUn
NW_001867448.1	chrUn
NW_001867449.1	chrUn
NW_001867450.1	chrUn
NW_001867451.1	chrUn
NW_001867453.1	chrUn
NW_001867454.1	chrUn
NW_001867455.1	chrUn
NW_001867456.1	chrUn
NW_001867458.1	chrUn
NW_001867460.1	chrUn
NW_001867461.1	chrUn
NW_001867463.1	chrUn
NW_001867465.1	chrUn
NW_001867466.1	chrUn
NW_001867467.1	chrUn
NW_001867469.1	chrUn
NW_001867471.1	chrUn
NW_001867472.1	chrUn
NW_001867474.1	chrUn
NW_001867476.1	chrUn
NW_001867478.1	chrUn
NW_001867480.1	chrUn
NW_001867481.1	chrUn
NW_001867482.1	chrUn
NW_001867487.1	chrUn
NW_001867488.1	chrUn
NW_001867489.1	chrUn
NW_001867492.1	chrUn
NW_001867493.1	chrUn
NW_001867495.1	chrUn
NW_001867496.1	chrUn
NW_001867497.1	chrUn
NW_001867498.1	chrUn
NW_001867499.1	chrUn
NW_001867502.1	chrUn
NW_001867503.1	chrUn
NW_001867504.1	chrUn
NW_001867505.1	chrUn
NW_001867507.1	chrUn
NW_001867511.1	chrUn
NW_001867513.1	chrUn
NW_001867515.1	chrUn
NW_001867516.1	chrUn
NW_001867517.1	chrUn
NW_001867519.1	chrUn
NW_001867520.1	chrUn
NW_001867521.1	chrUn
NW_001867524.1	chrUn
NW_001867525.1	chrUn
NW_001867526.1	chrUn
NW_001867527.1	chrUn
NW_001867529.1	chrUn
NW_001867530.1	chrUn
NW_001867531.1	chrUn
NW_001867533.1	chrUn
NW_001867535.1	chrUn
NW_001867536.1	chrUn
NW_001867537.1	chrUn
NW_001867539.1	chrUn
NW_001867540.1	chrUn
NW_001867542.1	chrUn
NW_001867543.1	chrUn
NW_001867544.1	chrUn
NW_001867547.1	chrUn
NW_001867548.1	chrUn
NW_001867550.1	chrUn
NW_001867555.1	chrUn
NW_001867557.1	chrUn
NW_001867560.1	chrUn
NW_001867562.1	chrUn
NW_001867564.1	chrUn
NW_001867565.1	chrUn
NW_001867566.1	chrUn
NW_001867568.1	chrUn
NW_001867569.1	chrUn
NW_001867571.1	chrUn
NW_001867573.1	chrUn
NW_001867574.1	chrUn
NW_001867575.1	chrUn
NW_001867576.1	chrUn
NW_001867577.1	chrUn
NW_001867579.1	chrUn
NW_001867580.1	chrUn
NW_001867582.1	chrUn
NW_001867583.1	chrUn
NW_001867584.1	chrUn
NW_001867585.1	chrUn
NW_001867586.1	chrUn
NW_001867588.1	chrUn
NW_001867590.1	chrUn
NW_001867592.1	chrUn
NW_001867593.1	chrUn
NW_001867595.1	chrUn
NW_001867596.1	chrUn
NW_001867599.1	chrUn
NW_001867602.1	chrUn
NW_001867603.1	chrUn
NW_001867604.1	chrUn
NW_001867605.1	chrUn
NW_001867606.1	chrUn
NW_001867607.1	chrUn
NW_001867609.1	chrUn
NW_001867610.1	chrUn
NW_001867613.1	chrUn
NW_001867616.1	chrUn
NW_001867618.1	chrUn
NW_001867619.1	chrUn
NW_001867620.1	chrUn
NW_001867621.1	chrUn
NW_001867623.1	chrUn
NW_001867624.1	chrUn
NW_001867625.1	chrUn
NW_001867626.1	chrUn
NW_001867627.1	chrUn
NW_001867629.1	chrUn
NW_001867630.1	chrUn
NW_001867631.1	chrUn
NW_001867634.1	chrUn
NW_001867635.1	chrUn
NW_001867636.1	chrUn
NW_001867637.1	chrUn
NW_001867639.1	chrUn
NW_001867640.1	chrUn
NW_001867641.1	chrUn
NW_001867642.1	chrUn
NW_001867643.1	chrUn
NW_001867645.1	chrUn
NW_001867646.1	chrUn
NW_001867647.1	chrUn
NW_001867648.1	chrUn
NW_001867651.1	chrUn
NW_001867652.1	chrUn
NW_001867654.1	chrUn
NW_001867657.1	chrUn
NW_001867661.1	chrUn
NW_001867662.1	chrUn
NW_001867663.1	chrUn
NW_001867664.1	chrUn
NW_001867665.1	chrUn
NW_001867667.1	chrUn
NW_001867668.1	chrUn
NW_001867669.1	chrUn
NW_001867670.1	chrUn
NW_001867671.1	chrUn
NW_001867672.1	chrUn
NW_001867674.1	chrUn
NW_001867675.1	chrUn
NW_001867676.1	chrUn
NW_001867682.1	chrUn
NW_001867683.1	chrUn
NW_001867684.1	chrUn
NW_001867685.1	chrUn
NW_001867686.1	chrUn
NW_001867689.1	chrUn
NW_001867691.1	chrUn
NW_001867692.1	chrUn
NW_001867693.1	chrUn
NW_001867694.1	chrUn
NW_001867696.1	chrUn
NW_001867697.1	chrUn
NW_001867698.1	chrUn
NW_001867700.1	chrUn
NW_001867701.1	chrUn
NW_001867702.1	chrUn
NW_001867703.1	chrUn
NW_001867704.1	chrUn
NW_001867705.1	chrUn
NW_001867706.1	chrUn
NW_001867707.1	chrUn
NW_001867709.1	chrUn
NW_001867711.1	chrUn
NW_001867712.1	chrUn
NW_001867713.1	chrUn
NW_001867714.1	chrUn
NW_001867716.1	chrUn
NW_001867717.1	chrUn
NW_001867718.1	chrUn
NW_001867719.1	chrUn
NW_001867720.1	chrUn
NW_001867722.1	chrUn
NW_001867724.1	chrUn
NW_001867725.1	chrUn
NW_001867726.1	chrUn
NW_001867728.1	chrUn
NW_001867729.1	chrUn
NW_001867730.1	chrUn
NW_001867731.1	chrUn
NW_001867733.1	chrUn
NW_001867734.1	chrUn
NW_001867735.1	chrUn
NW_001867736.1	chrUn
NW_001867737.1	chrUn
NW_001867739.1	chrUn
NW_001867740.1	chrUn
NW_001867741.1	chrUn
NW_001867742.1	chrUn
NW_001867744.1	chrUn
NW_001867745.1	chrUn
NW_001867746.1	chrUn
NW_001867747.1	chrUn
NW_001867749.1	chrUn
NW_001867751.1	chrUn
NW_001867753.1	chrUn
NW_001867755.1	chrUn
NW_001867758.1	chrUn
NW_001867761.1	chrUn
NW_001867763.1	chrUn
NW_001867767.1	chrUn
NW_001867768.1	chrUn
NW_001867769.1	chrUn
NW_001867770.1	chrUn
NW_001867771.1	chrUn
NW_001867774.1	chrUn
NW_001867777.1	chrUn
NW_001867778.1	chrUn
NW_001867779.1	chrUn
NW_001867782.1	chrUn
NW_001867783.1	chrUn
NW_001867784.1	chrUn
NW_001867785.1	chrUn
NW_001867786.1	chrUn
NW_001867788.1	chrUn
NW_001867789.1	chrUn
NW_001867794.1	chrUn
NW_001867795.1	chrUn
NW_001867796.1	chrUn
NW_001867797.1	chrUn
NW_001867799.1	chrUn
NW_001867800.1	chrUn
NW_001867801.1	chrUn
NW_001867803.1	chrUn
NW_001867804.1	chrUn
NW_001867805.1	chrUn
NW_001867807.1	chrUn
NW_001867808.1	chrUn
NW_001867810.1	chrUn
NW_001867811.1	chrUn
NW_001867812.1	chrUn
NW_001867813.1	chrUn
NW_001867815.1	chrUn
NW_001867816.1	chrUn
NW_001867818.1	chrUn
NW_001867819.1	chrUn
NW_001867822.1	chrUn
NW_001867823.1	chrUn
NW_001867824.1	chrUn
NW_001867825.1	chrUn
NW_001867827.1	chrUn
NW_001867828.1	chrUn
NW_001867829.1	chrUn
NW_001867832.1	chrUn
NW_001867833.1	chrUn
NW_001867836.1	chrUn
NW_001867838.1	chrUn
NW_001867840.1	chrUn
NW_001867841.1	chrUn
NW_001867843.1	chrUn
NW_001867845.1	chrUn
NW_001867847.1	chrUn
NW_001867848.1	chrUn
NW_001867849.1	chrUn
NW_001867851.1	chrUn
NW_001867852.1	chrUn
NW_001867854.1	chrUn
NW_001867855.1	chrUn
NW_001867857.1	chrUn
NW_001867858.1	chrUn
NW_001867860.1	chrUn
NW_001867861.1	chrUn
NW_001867863.1	chrUn
NW_001867865.1	chrUn
NW_001867866.1	chrUn
NW_001867867.1	chrUn
NW_001867868.1	chrUn
NW_001867869.1	chrUn
NW_001867870.1	chrUn
NW_001867871.1	chrUn
NW_001867873.1	chrUn
NW_001867876.1	chrUn
NW_001867877.1	chrUn
NW_001867878.1	chrUn
NW_001867880.1	chrUn
NW_001867881.1	chrUn
NW_001867883.1	chrUn
NW_001867884.1	chrUn
NW_001867885.1	chrUn
NW_001867887.1	chrUn
NW_001867889.1	chrUn
NW_001867890.1	chrUn
NW_001867892.1	chrUn
NW_001867893.1	chrUn
NW_001867894.1	chrUn
NW_001867895.1	chrUn
NW_001867896.1	chrUn
NW_001867898.1	chrUn
NW_001867899.1	chrUn
NW_001867900.1	chrUn
NW_001867902.1	chrUn
NW_001867903.1	chrUn
NW_001867905.1	chrUn
NW_001867909.1	chrUn
NW_001867910.1	chrUn
NW_001867911.1	chrUn
NW_001867912.1	chrUn
NW_001867914.1	chrUn
NW_001867916.1	chrUn
NW_001867917.1	chrUn
NW_001867918.1	chrUn
NW_001867921.1	chrUn
NW_001867923.1	chrUn
NW_001867924.1	chrUn
NW_001867925.1	chrUn
NW_001867926.1	chrUn
NW_001867927.1	chrUn
NW_001867928.1	chrUn
NW_001867929.1	chrUn
NW_001867931.1	chrUn
NW_001867932.1	chrUn
NW_001867933.1	chrUn
NW_001867934.1	chrUn
NW_001867935.1	chrUn
NW_001867937.1	chrUn
NW_001867939.1	chrUn
NW_001867942.1	chrUn
NW_001867945.1	chrUn
NW_001867947.1	chrUn
NW_001867948.1	chrUn
NW_001867949.1	chrUn
NW_001867951.1	chrUn
NW_001867953.1	chrUn
NW_001867954.1	chrUn
NW_001867956.1	chrUn
NW_001867957.1	chrUn
NW_001867958.1	chrUn
NW_001867959.1	chrUn
NW_001867961.1	chrUn
NW_001867962.1	chrUn
NW_001867964.1	chrUn
NW_001867965.1	chrUn
NW_001867966.1	chrUn
NW_001867967.1	chrUn
NW_001867970.1	chrUn
NW_001867971.1	chrUn
NW_001867972.1	chrUn
NW_001867973.1	chrUn
NW_001867975.1	chrUn
NW_001867976.1	chrUn
NW_001867977.1	chrUn
NW_001867978.1	chrUn
NW_001867979.1	chrUn
NW_001867981.1	chrUn
NW_001867982.1	chrUn
NW_001867983.1	chrUn
NW_001867986.1	chrUn
NW_001867987.1	chrUn
NW_001867988.1	chrUn
NW_001867989.1	chrUn
NW_001867990.1	chrUn
NW_001867991.1	chrUn
NW_001867992.1	chrUn
NW_001867993.1	chrUn
NW_001867994.1	chrUn
NW_001867998.1	chrUn
NW_001867999.1	chrUn
NW_001868000.1	chrUn
NW_001868001.1	chrUn
NW_001868002.1	chrUn
NW_001868003.1	chrUn
NW_001868005.1	chrUn
NW_001868006.1	chrUn
NW_001868008.1	chrUn
NW_001868009.1	chrUn
NW_001868011.1	chrUn
NW_001868012.1	chrUn
NW_001868013.1	chrUn
NW_001868016.1	chrUn
NW_001868017.1	chrUn
NW_001868019.1	chrUn
NW_001868020.1	chrUn
NW_001868021.1	chrUn
NW_001868022.1	chrUn
NW_001868023.1	chrUn
NW_001868025.1	chrUn
NW_001868026.1	chrUn
NW_001868027.1	chrUn
NW_001868030.1	chrUn
NW_001868032.1	chrUn
NW_001868034.1	chrUn
NW_001868035.1	chrUn
NW_001868039.1	chrUn
NW_001868041.1	chrUn
NW_001868042.1	chrUn
NW_001868043.1	chrUn
NW_001868044.1	chrUn
NW_001868045.1	chrUn
NW_001868046.1	chrUn
NW_001868047.1	chrUn
NW_001868048.1	chrUn
NW_001868049.1	chrUn
NW_001868052.1	chrUn
NW_001868053.1	chrUn
NW_001868054.1	chrUn
NW_001868055.1	chrUn
NW_001868056.1	chrUn
NW_001868058.1	chrUn
NW_001868059.1	chrUn
NW_001868060.1	chrUn
NW_001868061.1	chrUn
NW_001868063.1	chrUn
NW_001868064.1	chrUn
NW_001868065.1	chrUn
NW_001868066.1	chrUn
NW_001868067.1	chrUn
NW_001868068.1	chrUn
NW_001868069.1	chrUn
NW_001868070.1	chrUn
NW_001868071.1	chrUn
NW_001868072.1	chrUn
NW_001868074.1	chrUn
NW_001868075.1	chrUn
NW_001868076.1	chrUn
NW_001868077.1	chrUn
NW_001868078.1	chrUn
NW_001868079.1	chrUn
NW_001868080.1	chrUn
NW_001868081.1	chrUn
NW_001868082.1	chrUn
NW_001868083.1	chrUn
NW_001868085.1	chrUn
NW_001868086.1	chrUn
NW_001868087.1	chrUn
NW_001868088.1	chrUn
NW_001868089.1	chrUn
NW_001868090.1	chrUn
NW_001868091.1	chrUn
NW_001868092.1	chrUn
NW_001868093.1	chrUn
NW_001868094.1	chrUn
NW_001868096.1	chrUn
NW_001868097.1	chrUn
NW_001868098.1	chrUn
NW_001868099.1	chrUn
NW_001868100.1	chrUn
NW_001868101.1	chrUn
NW_001868103.1	chrUn
NW_001868104.1	chrUn
NW_001868105.1	chrUn
NW_001868108.1	chrUn
NW_001868109.1	chrUn
NW_001868110.1	chrUn
NW_001868111.1	chrUn
NW_001868112.1	chrUn
NW_001868113.1	chrUn
NW_001868115.1	chrUn
NW_001868116.1	chrUn
NW_001868118.1	chrUn
NW_001868119.1	chrUn
NW_001868120.1	chrUn
NW_001868121.1	chrUn
NW_001868122.1	chrUn
NW_001868123.1	chrUn
NW_001868124.1	chrUn
NW_001868125.1	chrUn
NW_001868126.1	chrUn
NW_001868127.1	chrUn
NW_001868130.1	chrUn
NW_001868131.1	chrUn
NW_001868132.1	chrUn
NW_001868133.1	chrUn
NW_001868134.1	chrUn
NW_001868135.1	chrUn
NW_001868136.1	chrUn
NW_001868140.1	chrUn
NW_001868141.1	chrUn
NW_001868142.1	chrUn
NW_001868143.1	chrUn
NW_001868144.1	chrUn
NW_001868145.1	chrUn
NW_001868146.1	chrUn
NW_001868147.1	chrUn
NW_001868148.1	chrUn
NW_001868149.1	chrUn
NW_001868151.1	chrUn
NW_001868152.1	chrUn
NW_001868153.1	chrUn
NW_001868155.1	chrUn
NW_001868156.1	chrUn
NW_001868158.1	chrUn
NW_001868159.1	chrUn
NW_001868160.1	chrUn
NW_001868162.1	chrUn
NW_001868163.1	chrUn
NW_001868164.1	chrUn
NW_001868165.1	chrUn
NW_001868166.1	chrUn
NW_001868167.1	chrUn
NW_001868168.1	chrUn
NW_001868170.1	chrUn
NW_001868171.1	chrUn
NW_001868173.1	chrUn
NW_001868174.1	chrUn
NW_001868176.1	chrUn
NW_001868177.1	chrUn
NW_001868178.1	chrUn
NW_001868179.1	chrUn
NW_001868180.1	chrUn
NW_001868182.1	chrUn
NW_001868184.1	chrUn
NW_001868185.1	chrUn
NW_001868186.1	chrUn
NW_001868187.1	chrUn
NW_001868190.1	chrUn
NW_001868192.1	chrUn
NW_001868193.1	chrUn
NW_001868197.1	chrUn
NW_001868198.1	chrUn
NW_001868199.1	chrUn
NW_001868200.1	chrUn
NW_001868202.1	chrUn
NW_001868203.1	chrUn
NW_001868204.1	chrUn
NW_001868206.1	chrUn
NW_001868207.1	chrUn
NW_001868208.1	chrUn
NW_001868209.1	chrUn
NW_001868210.1	chrUn
NW_001868211.1	chrUn
NW_001868212.1	chrUn
NW_001868213.1	chrUn
NW_001868214.1	chrUn
NW_001868215.1	chrUn
NW_001868217.1	chrUn
NW_001868218.1	chrUn
NW_001868219.1	chrUn
NW_001868220.1	chrUn
NW_001868221.1	chrUn
NW_001868222.1	chrUn
NW_001868223.1	chrUn
NW_001868224.1	chrUn
NW_001868225.1	chrUn
NW_001868226.1	chrUn
NW_001868228.1	chrUn
NW_001868229.1	chrUn
NW_001868230.1	chrUn
NW_001868233.1	chrUn
NW_001868234.1	chrUn
NW_001868235.1	chrUn
NW_001868236.1	chrUn
NW_001868237.1	chrUn
NW_001868239.1	chrUn
NW_001868242.1	chrUn
NW_001868243.1	chrUn
NW_001868245.1	chrUn
NW_001868247.1	chrUn
NW_001868248.1	chrUn
NW_001868250.1	chrUn
NW_001868251.1	chrUn
NW_001868252.1	chrUn
NW_001868253.1	chrUn
NW_001868258.1	chrUn
NW_001868263.1	chrUn
NW_001868264.1	chrUn
NW_001868265.1	chrUn
NW_001868267.1	chrUn
NW_001868269.1	chrUn
NW_001868270.1	chrUn
NW_001868272.1	chrUn
NW_001868273.1	chrUn
NW_001868274.1	chrUn
NW_001868275.1	chrUn
NW_001868276.1	chrUn
NW_001868278.1	chrUn
NW_001868280.1	chrUn
NW_001868281.1	chrUn
NW_001868283.1	chrUn
NW_001868284.1	chrUn
NW_001868285.1	chrUn
NW_001868286.1	chrUn
NW_001868287.1	chrUn
NW_001868288.1	chrUn
NW_001868289.1	chrUn
NW_001868290.1	chrUn
NW_001868291.1	chrUn
NW_001868292.1	chrUn
NW_001868295.1	chrUn
NW_001868296.1	chrUn
NW_001868297.1	chrUn
NW_001868298.1	chrUn
NW_001868299.1	chrUn
NW_001868300.1	chrUn
NW_001868301.1	chrUn
NW_001868305.1	chrUn
NW_001868306.1	chrUn
NW_001868307.1	chrUn
NW_001868308.1	chrUn
NW_001868309.1	chrUn
NW_001868310.1	chrUn
NW_001868311.1	chrUn
NW_001868312.1	chrUn
NW_001868313.1	chrUn
NW_001868314.1	chrUn
NW_001868316.1	chrUn
NW_001868317.1	chrUn
NW_001868318.1	chrUn
NW_001868319.1	chrUn
NW_001868321.1	chrUn
NW_001868322.1	chrUn
NW_001868324.1	chrUn
NW_001868327.1	chrUn
NW_001868329.1	chrUn
NW_001868330.1	chrUn
NW_001868332.1	chrUn
NW_001868333.1	chrUn
NW_001868334.1	chrUn
NW_001868335.1	chrUn
NW_001868336.1	chrUn
NW_001868338.1	chrUn
NW_001868339.1	chrUn
NW_001868340.1	chrUn
NW_001868341.1	chrUn
NW_001868344.1	chrUn
NW_001868346.1	chrUn
NW_001868347.1	chrUn
NW_001868349.1	chrUn
NW_001868350.1	chrUn
NW_001868352.1	chrUn
NW_001868353.1	chrUn
NW_001868354.1	chrUn
NW_001868355.1	chrUn
NW_001868356.1	chrUn
NW_001868357.1	chrUn
NW_001868358.1	chrUn
NW_001868360.1	chrUn
NW_001868362.1	chrUn
NW_001868363.1	chrUn
NW_001868364.1	chrUn
NW_001868365.1	chrUn
NW_001868366.1	chrUn
NW_001868367.1	chrUn
NW_001868368.1	chrUn
NW_001868369.1	chrUn
NW_001868371.1	chrUn
NW_001868372.1	chrUn
NW_001868373.1	chrUn
NW_001868375.1	chrUn
NW_001868376.1	chrUn
NW_001868377.1	chrUn
NW_001868378.1	chrUn
NW_001868379.1	chrUn
NW_001868383.1	chrUn
NW_001868384.1	chrUn
NW_001868385.1	chrUn
NW_001868386.1	chrUn
NW_001868387.1	chrUn
NW_001868388.1	chrUn
NW_001868390.1	chrUn
NW_001868393.1	chrUn
